Name,Position,Team,Tier
Ja'Marr Chase,WR,CIN,1
Bijan Robinson,RB,ATL,1
Saquon Barkley,RB,PHI,1
Justin Jefferson,WR,MIN,1
Jahmyr Gibbs,RB,DET,1
CeeDee Lamb,WR,DAL,1
Puka Nacua,WR,LAR,2
Malik Nabers,WR,NYG,2
Amon-Ra St. Brown,WR,DET,2
Nico Collins,WR,HOU,2
Ashton Jeanty,RB,LV,2
Derrick Henry,RB,BAL,2
Christian McCaffrey,RB,SF,2
Brian Thomas Jr.,WR,JAC,2
De'Von Achane,RB,MIA,2
Drake London,WR,ATL,3
Brock Bowers,TE,LV,3
A.J. Brown,WR,PHI,3
Josh Jacobs,RB,GB,3
Jonathan Taylor,RB,IND,3
Bucky Irving,RB,TB,3
Ladd McConkey,WR,LAC,3
Trey McBride,TE,ARI,3
Josh Allen,QB,BUF,3
Lamar Jackson,QB,BAL,3
Chase Brown,RB,CIN,4
Kyren Williams,RB,LAR,4
Tee Higgins,WR,CIN,4
Jaxon Smith-Njigba,WR,SEA,4
Tyreek Hill,WR,MIA,4
Jayden Daniels,QB,WAS,4
Garrett Wilson,WR,NYJ,4
George Kittle,TE,SF,4
Davante Adams,WR,LAR,4
Breece Hall,RB,NYJ,4
Mike Evans,WR,TB,4
James Cook,RB,BUF,4
Jalen Hurts,QB,PHI,4
Terry McLaurin,WR,WAS,4
Kenneth Walker III,RB,SEA,4
Alvin Kamara,RB,NO,4
Marvin Harrison Jr.,WR,ARI,4
DJ Moore,WR,CHI,5
Chuba Hubbard,RB,CAR,5
Joe Burrow,QB,CIN,5
James Conner,RB,ARI,5
DK Metcalf,WR,PIT,5
Omarion Hampton,RB,LAC,5
Courtland Sutton,WR,DEN,5
Rashee Rice,WR,KC,5
Joe Mixon,RB,HOU,5
DeVonta Smith,WR,PHI,5
Zay Flowers,WR,BAL,5
Jameson Williams,WR,DET,5
David Montgomery,RB,DET,5
Xavier Worthy,WR,KC,5
Sam LaPorta,TE,DET,5
D'Andre Swift,RB,CHI,5
Tetairoa McMillan,WR,CAR,5
TreVeyon Henderson,RB,NE,5
Jaylen Waddle,WR,MIA,5
RJ Harvey,RB,DEN,5
Patrick Mahomes II,QB,KC,6
Aaron Jones Sr.,RB,MIN,6
Calvin Ridley,WR,TEN,6
Chris Olave,WR,NO,6
Kaleb Johnson,RB,PIT,6
Tony Pollard,RB,TEN,6
Isiah Pacheco,RB,KC,6
George Pickens,WR,DAL,6
Baker Mayfield,QB,TB,6
T.J. Hockenson,TE,MIN,6
Travis Hunter,WR,JAC,6
Chris Godwin,WR,TB,6
Brian Robinson Jr.,RB,WAS,6
Bo Nix,QB,DEN,6
Jerry Jeudy,WR,CLE,6
Kyler Murray,QB,ARI,6
Jordan Addison,WR,MIN,6
Rome Odunze,WR,CHI,6
Travis Kelce,TE,KC,6
Mark Andrews,TE,BAL,6
Jauan Jennings,WR,SF,6
Jakobi Meyers,WR,LV,7
David Njoku,TE,CLE,7
Travis Etienne Jr.,RB,JAC,7
Tyrone Tracy Jr.,RB,NYG,7
Justin Fields,QB,NYJ,7
Evan Engram,TE,DEN,7
Jaylen Warren,RB,PIT,7
Khalil Shakir,WR,BUF,7
Brock Purdy,QB,SF,7
Quinshon Judkins,RB,CLE,7
Caleb Williams,QB,CHI,7
Dak Prescott,QB,DAL,7
Jayden Reed,WR,GB,7
Justin Herbert,QB,LAC,7
Stefon Diggs,WR,NE,7
Deebo Samuel Sr.,WR,WAS,7
Javonte Williams,RB,DAL,7
Najee Harris,RB,LAC,7
Tucker Kraft,TE,GB,7
Jared Goff,QB,DET,7
Ricky Pearsall,WR,SF,7
Josh Downs,WR,IND,7
Jordan Mason,RB,MIN,7
Rhamondre Stevenson,RB,NE,7
Drake Maye,QB,NE,7
Zach Charbonnet,RB,SEA,7
Jordan Love,QB,GB,7
Michael Pittman Jr.,WR,IND,7
Cam Skattebo,RB,NYG,7
Cooper Kupp,WR,SEA,7
Tyjae Spears,RB,TEN,7
Dalton Kincaid,TE,BUF,7
Trevor Lawrence,QB,JAC,7
Darnell Mooney,WR,ATL,7
Brandon Aiyuk,WR,SF,7
C.J. Stroud,QB,HOU,8
Jake Ferguson,TE,DAL,8
Rachaad White,RB,TB,8
Dallas Goedert,TE,PHI,8
Tyler Warren,TE,IND,8
Tank Bigsby,RB,JAC,8
J.K. Dobbins,RB,DEN,8
Emeka Egbuka,WR,TB,8
Matthew Golden,WR,GB,8
J.J. McCarthy,QB,MIN,8
Keon Coleman,WR,BUF,8
Austin Ekeler,RB,WAS,8
Rashid Shaheed,WR,NO,8
Trey Benson,RB,ARI,8
Ray Davis,RB,BUF,8
Matthew Stafford,QB,LAR,8
Christian Kirk,WR,HOU,8
Tua Tagovailoa,QB,MIA,8
Jonnu Smith,TE,PIT,8
Colston Loveland,TE,CHI,8
Rashod Bateman,WR,BAL,8
Tyler Allgeier,RB,ATL,8
Isaac Guerendo,RB,SF,8
Bryce Young,QB,CAR,8
Rico Dowdle,RB,CAR,8
Luther Burden III,WR,CHI,8
Hunter Henry,TE,NE,8
Cedric Tillman,WR,CLE,8
Bhayshul Tuten,RB,JAC,8
Marvin Mims Jr.,WR,DEN,8
Jaylen Wright,RB,MIA,8
Tre Harris,WR,LAC,8
Marquise Brown,WR,KC,8
Michael Penix Jr.,QB,ATL,8
